age,age_cat,charge,race,sex,priors_count,score,outcome
38,25 - 45,Misdemeanor,Caucasian,Male,1,3,0
26,25 - 45,Misdemeanor,Caucasian,Male,0,3,0
23,Less than 25,Felony,Caucasian,Male,2,6,0
36,25 - 45,Misdemeanor,African-American,Female,0,1,0
58,Greater than 45,Felony,Caucasian,Male,1,1,0
35,25 - 45,Felony,Caucasian,Female,4,4,0
23,Less than 25,Felony,African-American,Male,3,5,0
40,25 - 45,Felony,Caucasian,Male,1,1,0
31,25 - 45,Felony,Hispanic,Male,3,3,0
34,25 - 45,Felony,Hispanic,Female,5,2,0
26,25 - 45,Felony,African-American,Female,3,3,0
49,Greater than 45,Felony,African-American,Male,1,1,0
47,Greater than 45,Misdemeanor,Hispanic,Female,0,1,0
47,Greater than 45,Felony,African-American,Male,6,1,0
27,25 - 45,Felony,African-American,Male,10,8,0
52,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
25,25 - 45,Felony,African-American,Male,9,4,0
51,Greater than 45,Felony,African-American,Male,1,2,0
29,25 - 45,Misdemeanor,African-American,Female,1,2,0
46,Greater than 45,Felony,Caucasian,Male,0,1,0
28,25 - 45,Felony,Caucasian,Male,6,3,0
57,Greater than 45,Felony,African-American,Male,0,1,0
23,Less than 25,Felony,Hispanic,Male,2,5,0
27,25 - 45,Felony,African-American,Male,3,2,0
31,25 - 45,Felony,Caucasian,Male,1,2,1
37,25 - 45,Felony,African-American,Male,8,1,0
51,Greater than 45,Felony,African-American,Male,0,1,1
28,25 - 45,Felony,African-American,Male,8,6,0
56,Greater than 45,Felony,Caucasian,Male,4,1,0
26,25 - 45,Felony,Caucasian,Male,7,4,1
33,25 - 45,Felony,Caucasian,Male,7,2,1
23,Less than 25,Misdemeanor,Caucasian,Male,0,3,0
31,25 - 45,Misdemeanor,African-American,Male,0,2,0
31,25 - 45,Misdemeanor,Other,Male,0,3,0
19,Less than 25,Felony,Hispanic,Male,1,10,0
32,25 - 45,Felony,Caucasian,Male,0,1,0
66,Greater than 45,Felony,Caucasian,Male,1,1,0
40,25 - 45,Felony,African-American,Female,0,1,0
59,Greater than 45,Misdemeanor,African-American,Male,4,2,0
27,25 - 45,Misdemeanor,African-American,Male,3,3,0
22,Less than 25,Felony,African-American,Male,0,6,0
58,Greater than 45,Felony,Caucasian,Male,1,1,0
29,25 - 45,Felony,Caucasian,Male,2,2,0
27,25 - 45,Felony,African-American,Male,0,7,1
24,Less than 25,Felony,Caucasian,Male,0,4,0
35,25 - 45,Felony,Caucasian,Female,3,2,0
30,25 - 45,Felony,African-American,Male,5,6,1
23,Less than 25,Felony,African-American,Male,1,4,0
32,25 - 45,Felony,Caucasian,Male,2,1,1
22,Less than 25,Felony,Caucasian,Male,2,5,0
21,Less than 25,Misdemeanor,African-American,Male,0,5,0
43,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
29,25 - 45,Felony,African-American,Male,0,4,0
43,25 - 45,Felony,African-American,Male,1,3,0
25,25 - 45,Felony,African-American,Male,1,3,0
47,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
21,Less than 25,Felony,African-American,Female,0,6,0
54,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
34,25 - 45,Felony,African-American,Male,3,1,1
28,25 - 45,Misdemeanor,African-American,Female,2,2,0
54,Greater than 45,Misdemeanor,African-American,Male,0,1,0
34,25 - 45,Felony,African-American,Male,2,1,0
22,Less than 25,Felony,African-American,Male,0,5,0
51,Greater than 45,Felony,African-American,Male,3,4,0
28,25 - 45,Misdemeanor,African-American,Male,5,5,0
43,25 - 45,Misdemeanor,Caucasian,Male,4,4,0
45,Greater than 45,Misdemeanor,Hispanic,Male,1,3,0
41,25 - 45,Misdemeanor,Hispanic,Male,1,1,0
25,25 - 45,Felony,Other,Male,24,6,1
35,25 - 45,Felony,Hispanic,Male,12,6,0
24,Less than 25,Misdemeanor,Asian,Male,0,4,0
28,25 - 45,Felony,Hispanic,Male,0,4,0
29,25 - 45,Felony,African-American,Male,13,10,1
26,25 - 45,Felony,African-American,Male,9,7,1
31,25 - 45,Misdemeanor,Other,Male,0,1,0
28,25 - 45,Felony,Caucasian,Male,0,3,0
44,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
42,25 - 45,Misdemeanor,African-American,Male,7,3,0
39,25 - 45,Felony,African-American,Male,5,4,0
46,Greater than 45,Felony,Hispanic,Female,2,1,0
55,Greater than 45,Misdemeanor,Caucasian,Male,0,3,0
31,25 - 45,Misdemeanor,Caucasian,Female,0,5,0
25,25 - 45,Felony,African-American,Male,0,4,0
32,25 - 45,Misdemeanor,Caucasian,Male,6,4,0
36,25 - 45,Felony,African-American,Male,2,4,0
39,25 - 45,Misdemeanor,Caucasian,Male,2,2,0
26,25 - 45,Misdemeanor,African-American,Female,0,2,0
22,Less than 25,Felony,Other,Female,0,5,0
37,25 - 45,Misdemeanor,Caucasian,Male,3,1,0
41,25 - 45,Misdemeanor,Caucasian,Male,9,2,0
25,25 - 45,Misdemeanor,African-American,Male,1,3,0
58,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
44,25 - 45,Misdemeanor,African-American,Male,19,6,1
28,25 - 45,Felony,African-American,Male,1,5,0
54,Greater than 45,Felony,Caucasian,Male,0,1,0
43,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
31,25 - 45,Misdemeanor,African-American,Male,5,10,0
30,25 - 45,Felony,African-American,Male,11,9,0
24,Less than 25,Misdemeanor,African-American,Male,0,4,0
43,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
24,Less than 25,Felony,Hispanic,Male,11,8,1
23,Less than 25,Felony,African-American,Male,0,4,0
27,25 - 45,Felony,Caucasian,Male,1,7,0
66,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
36,25 - 45,Felony,Caucasian,Female,3,1,0
22,Less than 25,Misdemeanor,African-American,Female,0,5,1
25,25 - 45,Felony,Hispanic,Male,1,3,0
56,Greater than 45,Felony,African-American,Male,4,1,0
58,Greater than 45,Misdemeanor,African-American,Female,3,1,0
24,Less than 25,Misdemeanor,Caucasian,Male,3,6,0
22,Less than 25,Felony,African-American,Male,0,6,1
39,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
23,Less than 25,Misdemeanor,Caucasian,Male,0,9,1
39,25 - 45,Felony,Other,Male,6,1,0
25,25 - 45,Felony,African-American,Male,0,6,0
26,25 - 45,Felony,African-American,Male,6,6,0
25,25 - 45,Felony,African-American,Male,2,8,0
36,25 - 45,Felony,African-American,Male,0,1,0
35,25 - 45,Felony,African-American,Male,7,2,1
22,Less than 25,Felony,African-American,Male,2,6,1
25,25 - 45,Felony,Caucasian,Male,0,3,0
36,25 - 45,Misdemeanor,Hispanic,Male,0,1,0
24,Less than 25,Misdemeanor,African-American,Male,2,7,1
29,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
50,Greater than 45,Felony,Caucasian,Male,8,2,0
27,25 - 45,Misdemeanor,African-American,Male,0,2,0
21,Less than 25,Misdemeanor,Hispanic,Male,1,5,1
58,Greater than 45,Felony,African-American,Male,1,1,0
27,25 - 45,Felony,African-American,Male,4,5,0
31,25 - 45,Misdemeanor,Caucasian,Female,0,2,0
24,Less than 25,Misdemeanor,African-American,Male,3,7,0
43,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
23,Less than 25,Felony,African-American,Male,0,6,0
42,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
30,25 - 45,Misdemeanor,African-American,Male,18,8,0
29,25 - 45,Felony,African-American,Male,1,7,0
26,25 - 45,Misdemeanor,Caucasian,Male,3,4,0
51,Greater than 45,Misdemeanor,African-American,Male,5,5,0
36,25 - 45,Misdemeanor,Other,Male,0,1,0
62,Greater than 45,Misdemeanor,Hispanic,Male,0,1,0
35,25 - 45,Misdemeanor,African-American,Male,1,1,0
22,Less than 25,Felony,Caucasian,Male,0,5,0
40,25 - 45,Felony,African-American,Male,0,1,0
36,25 - 45,Felony,African-American,Male,2,1,0
69,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
27,25 - 45,Felony,African-American,Male,1,3,0
27,25 - 45,Felony,African-American,Male,1,2,0
24,Less than 25,Misdemeanor,African-American,Female,6,7,0
42,25 - 45,Felony,Caucasian,Male,0,1,0
25,25 - 45,Felony,Caucasian,Male,1,2,0
25,25 - 45,Felony,African-American,Male,0,4,0
22,Less than 25,Felony,African-American,Male,0,5,0
21,Less than 25,Felony,Caucasian,Male,0,7,0
30,25 - 45,Misdemeanor,African-American,Male,1,3,0
46,Greater than 45,Misdemeanor,Caucasian,Male,9,2,0
26,25 - 45,Misdemeanor,African-American,Male,2,7,0
40,25 - 45,Misdemeanor,African-American,Male,1,2,0
34,25 - 45,Felony,Caucasian,Male,0,3,0
28,25 - 45,Misdemeanor,Hispanic,Male,3,5,0
59,Greater than 45,Misdemeanor,Caucasian,Male,3,1,1
37,25 - 45,Felony,Native American,Male,0,1,0
50,Greater than 45,Felony,African-American,Male,0,1,0
57,Greater than 45,Felony,African-American,Male,8,2,1
31,25 - 45,Misdemeanor,African-American,Male,5,5,0
44,25 - 45,Felony,African-American,Male,9,6,0
25,25 - 45,Felony,Caucasian,Female,0,3,0
51,Greater than 45,Misdemeanor,African-American,Male,5,3,0
57,Greater than 45,Felony,Caucasian,Male,2,1,0
55,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
42,25 - 45,Felony,African-American,Female,0,1,0
21,Less than 25,Felony,Other,Male,0,5,0
24,Less than 25,Misdemeanor,Hispanic,Female,0,4,0
42,25 - 45,Felony,African-American,Male,1,2,0
21,Less than 25,Felony,African-American,Male,1,6,0
58,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
46,Greater than 45,Felony,African-American,Male,2,4,0
35,25 - 45,Misdemeanor,African-American,Male,4,6,0
42,25 - 45,Felony,African-American,Male,2,4,0
32,25 - 45,Felony,African-American,Male,8,2,0
31,25 - 45,Felony,Other,Male,5,4,0
33,25 - 45,Misdemeanor,African-American,Female,1,2,0
25,25 - 45,Felony,Caucasian,Male,4,4,0
33,25 - 45,Misdemeanor,African-American,Female,0,1,0
21,Less than 25,Felony,Hispanic,Male,1,9,0
56,Greater than 45,Felony,African-American,Male,1,1,0
38,25 - 45,Misdemeanor,Caucasian,Male,0,1,1
40,25 - 45,Misdemeanor,African-American,Female,4,1,0
28,25 - 45,Felony,African-American,Male,4,3,0
51,Greater than 45,Misdemeanor,African-American,Male,0,1,0
35,25 - 45,Misdemeanor,African-American,Male,2,2,0
61,Greater than 45,Felony,African-American,Male,5,1,0
25,25 - 45,Felony,African-American,Male,0,4,0
26,25 - 45,Misdemeanor,African-American,Male,0,4,0
42,25 - 45,Misdemeanor,Caucasian,Male,1,1,0
25,25 - 45,Felony,African-American,Female,1,4,0
31,25 - 45,Felony,African-American,Male,9,3,0
35,25 - 45,Felony,Caucasian,Male,1,1,0
34,25 - 45,Felony,Caucasian,Male,0,1,0
33,25 - 45,Misdemeanor,Caucasian,Female,1,2,0
30,25 - 45,Felony,African-American,Male,3,2,0
50,Greater than 45,Misdemeanor,African-American,Female,7,1,0
21,Less than 25,Felony,African-American,Male,0,7,0
23,Less than 25,Misdemeanor,African-American,Female,0,4,0
25,25 - 45,Felony,African-American,Male,1,6,0
24,Less than 25,Felony,Caucasian,Female,1,4,0
60,Greater than 45,Felony,African-American,Male,0,1,0
30,25 - 45,Felony,African-American,Male,2,3,0
32,25 - 45,Misdemeanor,Other,Female,0,1,0
46,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
21,Less than 25,Misdemeanor,Caucasian,Male,0,5,1
35,25 - 45,Felony,African-American,Male,0,2,0
28,25 - 45,Misdemeanor,African-American,Male,2,3,0
46,Greater than 45,Misdemeanor,Caucasian,Male,2,1,0
56,Greater than 45,Felony,African-American,Male,1,1,0
24,Less than 25,Misdemeanor,African-American,Male,1,6,1
33,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
48,Greater than 45,Misdemeanor,Caucasian,Male,2,5,0
25,25 - 45,Felony,Hispanic,Male,0,5,0
37,25 - 45,Felony,Hispanic,Male,0,2,1
43,25 - 45,Felony,Caucasian,Female,7,4,0
32,25 - 45,Felony,Caucasian,Male,0,2,0
33,25 - 45,Felony,Other,Male,3,2,0
49,Greater than 45,Felony,Caucasian,Male,4,2,0
24,Less than 25,Felony,Caucasian,Male,0,5,0
26,25 - 45,Felony,African-American,Male,1,8,0
42,25 - 45,Felony,Caucasian,Male,0,1,0
36,25 - 45,Felony,Hispanic,Male,0,1,0
29,25 - 45,Misdemeanor,Caucasian,Male,7,6,1
39,25 - 45,Misdemeanor,Caucasian,Male,0,3,0
53,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
21,Less than 25,Felony,Other,Male,0,8,1
41,25 - 45,Felony,African-American,Male,4,2,0
22,Less than 25,Felony,Caucasian,Male,5,6,1
22,Less than 25,Felony,Caucasian,Male,0,6,1
25,25 - 45,Felony,African-American,Male,2,3,0
51,Greater than 45,Felony,Other,Male,2,1,0
24,Less than 25,Felony,African-American,Male,0,5,0
37,25 - 45,Felony,African-American,Male,4,2,0
37,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
27,25 - 45,Misdemeanor,Other,Female,0,2,0
21,Less than 25,Felony,Other,Male,0,6,0
35,25 - 45,Felony,African-American,Male,1,1,1
24,Less than 25,Felony,Caucasian,Female,0,5,0
49,Greater than 45,Misdemeanor,Caucasian,Male,2,1,0
38,25 - 45,Felony,African-American,Male,9,8,0
61,Greater than 45,Misdemeanor,Other,Male,0,1,0
30,25 - 45,Misdemeanor,African-American,Female,0,2,0
22,Less than 25,Felony,African-American,Male,3,5,0
52,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
26,25 - 45,Felony,Caucasian,Male,0,3,0
26,25 - 45,Misdemeanor,Other,Male,0,2,0
29,25 - 45,Felony,African-American,Male,4,9,0
26,25 - 45,Felony,Caucasian,Male,2,6,0
46,Greater than 45,Felony,African-American,Female,4,3,0
46,Greater than 45,Felony,African-American,Female,0,1,0
29,25 - 45,Felony,African-American,Male,12,7,1
41,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
25,25 - 45,Felony,African-American,Female,5,3,0
23,Less than 25,Felony,African-American,Male,2,5,0
30,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
34,25 - 45,Felony,Caucasian,Male,1,4,0
52,Greater than 45,Felony,Caucasian,Male,2,1,0
51,Greater than 45,Misdemeanor,African-American,Male,4,2,0
49,Greater than 45,Felony,Caucasian,Female,1,1,0
47,Greater than 45,Felony,Caucasian,Female,0,1,0
27,25 - 45,Misdemeanor,African-American,Male,0,3,0
21,Less than 25,Felony,African-American,Male,0,6,0
30,25 - 45,Felony,Caucasian,Male,3,4,1
70,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
38,25 - 45,Felony,African-American,Male,15,5,0
29,25 - 45,Felony,African-American,Male,0,2,0
38,25 - 45,Felony,Hispanic,Male,3,1,0
27,25 - 45,Felony,Caucasian,Female,0,2,0
44,25 - 45,Misdemeanor,Hispanic,Male,0,1,0
31,25 - 45,Misdemeanor,Caucasian,Male,6,5,0
30,25 - 45,Misdemeanor,African-American,Female,0,2,0
40,25 - 45,Felony,African-American,Male,3,1,0
33,25 - 45,Misdemeanor,Caucasian,Male,1,2,0
31,25 - 45,Misdemeanor,Hispanic,Male,1,5,0
61,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
30,25 - 45,Felony,Caucasian,Male,2,3,0
62,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
48,Greater than 45,Felony,Caucasian,Male,9,1,0
40,25 - 45,Felony,Caucasian,Female,0,1,0
24,Less than 25,Felony,Caucasian,Male,0,5,0
63,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
33,25 - 45,Felony,African-American,Male,4,9,0
51,Greater than 45,Felony,African-American,Male,1,1,0
39,25 - 45,Felony,Caucasian,Male,3,1,1
22,Less than 25,Misdemeanor,African-American,Male,0,5,0
59,Greater than 45,Felony,Caucasian,Male,0,1,0
38,25 - 45,Misdemeanor,African-American,Male,37,2,1
23,Less than 25,Felony,African-American,Male,2,5,0
38,25 - 45,Felony,African-American,Male,2,3,1
34,25 - 45,Felony,Caucasian,Female,2,2,0
31,25 - 45,Felony,African-American,Male,1,2,0
43,25 - 45,Felony,African-American,Male,0,1,0
40,25 - 45,Felony,African-American,Male,1,1,0
22,Less than 25,Felony,African-American,Male,0,5,0
40,25 - 45,Felony,Other,Female,0,1,0
45,Greater than 45,Felony,African-American,Female,1,2,0
21,Less than 25,Felony,Caucasian,Male,1,9,0
35,25 - 45,Felony,Caucasian,Male,6,4,1
52,Greater than 45,Misdemeanor,African-American,Male,1,1,1
48,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
48,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
47,Greater than 45,Misdemeanor,African-American,Male,0,3,0
35,25 - 45,Felony,African-American,Male,13,5,0
52,Greater than 45,Felony,African-American,Male,2,1,0
21,Less than 25,Misdemeanor,Caucasian,Male,0,9,1
53,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
22,Less than 25,Misdemeanor,African-American,Male,0,8,0
45,Greater than 45,Felony,African-American,Male,1,1,0
27,25 - 45,Felony,Caucasian,Female,0,2,0
25,25 - 45,Misdemeanor,Caucasian,Male,0,3,0
28,25 - 45,Felony,Caucasian,Male,3,2,0
36,25 - 45,Misdemeanor,African-American,Male,3,2,1
42,25 - 45,Felony,African-American,Male,1,1,0
33,25 - 45,Felony,Caucasian,Female,2,1,0
42,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
28,25 - 45,Misdemeanor,African-American,Female,0,2,0
27,25 - 45,Felony,African-American,Male,25,9,1
21,Less than 25,Felony,Caucasian,Female,0,7,0
36,25 - 45,Felony,Caucasian,Male,0,1,0
28,25 - 45,Misdemeanor,Caucasian,Male,1,4,0
34,25 - 45,Felony,African-American,Male,3,2,0
25,25 - 45,Felony,African-American,Female,1,3,0
21,Less than 25,Misdemeanor,African-American,Male,1,8,0
48,Greater than 45,Felony,African-American,Male,1,1,0
37,25 - 45,Misdemeanor,Caucasian,Male,1,3,0
37,25 - 45,Misdemeanor,Caucasian,Male,1,1,1
39,25 - 45,Felony,Caucasian,Male,1,4,0
49,Greater than 45,Felony,Other,Male,2,1,0
43,25 - 45,Felony,Caucasian,Male,5,6,0
53,Greater than 45,Misdemeanor,African-American,Male,1,2,0
39,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
36,25 - 45,Felony,Caucasian,Male,2,1,0
24,Less than 25,Felony,African-American,Female,1,5,0
35,25 - 45,Misdemeanor,Hispanic,Male,0,1,0
23,Less than 25,Felony,African-American,Male,3,5,0
26,25 - 45,Felony,African-American,Male,2,3,0
30,25 - 45,Felony,African-American,Female,14,7,1
25,25 - 45,Misdemeanor,Caucasian,Male,2,6,0
26,25 - 45,Misdemeanor,African-American,Male,2,4,0
60,Greater than 45,Felony,Hispanic,Male,0,1,0
20,Less than 25,Felony,African-American,Female,0,7,0
23,Less than 25,Felony,Caucasian,Male,0,4,0
26,25 - 45,Felony,African-American,Male,5,6,1
40,25 - 45,Misdemeanor,Caucasian,Male,4,1,0
28,25 - 45,Felony,Other,Male,1,3,1
53,Greater than 45,Felony,Caucasian,Male,1,1,0
24,Less than 25,Felony,African-American,Female,0,3,0
31,25 - 45,Felony,Hispanic,Male,0,1,0
33,25 - 45,Felony,Caucasian,Female,2,2,0
26,25 - 45,Felony,Caucasian,Male,8,7,1
32,25 - 45,Felony,Caucasian,Male,2,2,0
25,25 - 45,Felony,Caucasian,Male,0,3,1
21,Less than 25,Felony,African-American,Male,1,5,0
38,25 - 45,Felony,African-American,Male,3,6,0
23,Less than 25,Felony,Caucasian,Male,0,3,0
20,Less than 25,Felony,Caucasian,Male,0,7,1
24,Less than 25,Felony,African-American,Male,1,3,1
23,Less than 25,Felony,Hispanic,Male,0,3,0
49,Greater than 45,Felony,African-American,Male,3,1,0
28,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
67,Greater than 45,Felony,Caucasian,Male,3,1,0
33,25 - 45,Felony,Hispanic,Male,0,1,0
52,Greater than 45,Felony,African-American,Male,0,1,0
22,Less than 25,Felony,Caucasian,Male,1,9,0
40,25 - 45,Misdemeanor,Caucasian,Male,0,1,1
30,25 - 45,Misdemeanor,Caucasian,Male,1,6,1
42,25 - 45,Felony,African-American,Male,1,1,0
46,Greater than 45,Felony,Caucasian,Male,4,1,0
38,25 - 45,Felony,African-American,Male,4,2,0
26,25 - 45,Misdemeanor,Caucasian,Male,0,4,0
27,25 - 45,Felony,Hispanic,Male,2,2,0
61,Greater than 45,Felony,Caucasian,Male,1,2,0
57,Greater than 45,Felony,Caucasian,Male,0,1,0
24,Less than 25,Misdemeanor,Caucasian,Male,3,4,1
34,25 - 45,Felony,African-American,Male,1,2,0
27,25 - 45,Felony,Hispanic,Male,1,3,0
35,25 - 45,Misdemeanor,African-American,Male,10,3,1
44,25 - 45,Felony,African-American,Male,0,2,0
61,Greater than 45,Felony,Caucasian,Male,10,5,0
42,25 - 45,Misdemeanor,African-American,Male,4,1,0
53,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
26,25 - 45,Misdemeanor,African-American,Male,3,9,0
50,Greater than 45,Felony,Caucasian,Male,0,2,0
44,25 - 45,Misdemeanor,Caucasian,Male,16,3,0
24,Less than 25,Felony,African-American,Male,4,6,1
50,Greater than 45,Felony,Caucasian,Male,0,1,0
36,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
39,25 - 45,Felony,Caucasian,Male,0,2,0
54,Greater than 45,Felony,African-American,Female,7,1,0
29,25 - 45,Misdemeanor,African-American,Male,0,2,0
26,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
34,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
20,Less than 25,Felony,African-American,Male,0,6,0
26,25 - 45,Felony,African-American,Male,4,6,1
26,25 - 45,Felony,African-American,Male,0,3,0
55,Greater than 45,Felony,African-American,Male,1,1,0
22,Less than 25,Misdemeanor,African-American,Male,0,7,0
26,25 - 45,Misdemeanor,African-American,Female,0,3,0
56,Greater than 45,Misdemeanor,Other,Male,0,1,0
46,Greater than 45,Felony,Other,Male,2,4,0
28,25 - 45,Felony,African-American,Male,4,9,0
33,25 - 45,Felony,African-American,Male,8,5,0
31,25 - 45,Misdemeanor,African-American,Female,0,2,0
26,25 - 45,Misdemeanor,African-American,Male,1,4,0
34,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
33,25 - 45,Felony,Other,Male,0,1,0
32,25 - 45,Felony,African-American,Female,0,1,0
37,25 - 45,Felony,African-American,Male,9,9,1
50,Greater than 45,Felony,African-American,Male,1,5,0
35,25 - 45,Felony,Caucasian,Male,1,1,0
52,Greater than 45,Felony,African-American,Female,8,7,0
26,25 - 45,Felony,African-American,Male,5,7,1
19,Less than 25,Misdemeanor,Other,Male,0,9,1
24,Less than 25,Misdemeanor,African-American,Male,0,3,0
21,Less than 25,Felony,African-American,Male,1,8,0
54,Greater than 45,Misdemeanor,Caucasian,Male,0,2,0
49,Greater than 45,Felony,Caucasian,Male,0,1,0
42,25 - 45,Felony,Caucasian,Male,1,1,0
74,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
38,25 - 45,Felony,Hispanic,Female,0,1,0
39,25 - 45,Felony,African-American,Female,1,1,0
39,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
38,25 - 45,Felony,African-American,Female,0,1,0
53,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
23,Less than 25,Felony,African-American,Male,2,9,0
64,Greater than 45,Felony,Caucasian,Female,1,1,0
41,25 - 45,Felony,Hispanic,Female,0,1,0
53,Greater than 45,Misdemeanor,Other,Male,0,1,0
34,25 - 45,Felony,African-American,Male,0,1,0
26,25 - 45,Misdemeanor,African-American,Male,1,2,0
44,25 - 45,Felony,Caucasian,Male,4,3,0
27,25 - 45,Felony,Caucasian,Female,0,2,0
28,25 - 45,Felony,Caucasian,Male,14,3,0
55,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
36,25 - 45,Felony,African-American,Male,15,1,0
23,Less than 25,Felony,African-American,Male,1,6,0
56,Greater than 45,Misdemeanor,African-American,Male,1,2,0
37,25 - 45,Misdemeanor,Caucasian,Male,1,4,0
45,Greater than 45,Misdemeanor,African-American,Male,3,2,0
31,25 - 45,Felony,African-American,Female,14,8,0
42,25 - 45,Felony,African-American,Male,7,1,1
36,25 - 45,Misdemeanor,African-American,Female,1,1,0
54,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
23,Less than 25,Misdemeanor,Hispanic,Male,0,5,0
61,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
42,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
27,25 - 45,Misdemeanor,African-American,Male,1,3,0
24,Less than 25,Misdemeanor,Caucasian,Male,2,5,0
38,25 - 45,Felony,Caucasian,Male,0,1,0
21,Less than 25,Misdemeanor,Caucasian,Male,1,6,0
39,25 - 45,Felony,Caucasian,Male,0,1,0
29,25 - 45,Felony,Caucasian,Male,0,2,0
29,25 - 45,Felony,Caucasian,Male,1,4,0
44,25 - 45,Felony,African-American,Male,7,4,0
27,25 - 45,Misdemeanor,African-American,Male,0,2,0
27,25 - 45,Felony,African-American,Male,8,8,1
61,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
27,25 - 45,Misdemeanor,African-American,Male,1,2,0
26,25 - 45,Misdemeanor,Caucasian,Male,9,3,1
25,25 - 45,Felony,African-American,Male,2,4,0
23,Less than 25,Misdemeanor,Other,Male,5,9,1
23,Less than 25,Misdemeanor,African-American,Male,1,6,0
30,25 - 45,Misdemeanor,Other,Male,3,1,0
45,Greater than 45,Felony,African-American,Female,2,1,0
26,25 - 45,Misdemeanor,African-American,Female,0,2,0
21,Less than 25,Felony,Caucasian,Male,0,7,1
62,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
48,Greater than 45,Felony,Caucasian,Male,0,2,0
53,Greater than 45,Misdemeanor,African-American,Male,1,1,0
28,25 - 45,Felony,African-American,Male,5,10,0
56,Greater than 45,Felony,Caucasian,Male,1,1,0
35,25 - 45,Felony,Hispanic,Male,2,1,0
35,25 - 45,Misdemeanor,African-American,Male,4,6,0
37,25 - 45,Felony,African-American,Female,7,1,0
32,25 - 45,Felony,African-American,Female,0,1,0
53,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
32,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
26,25 - 45,Misdemeanor,Caucasian,Male,0,3,0
61,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
21,Less than 25,Misdemeanor,African-American,Male,0,7,0
69,Greater than 45,Misdemeanor,African-American,Male,22,4,0
26,25 - 45,Misdemeanor,African-American,Male,0,4,0
30,25 - 45,Felony,African-American,Male,9,7,1
21,Less than 25,Felony,Caucasian,Male,1,5,0
41,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
22,Less than 25,Felony,Caucasian,Male,0,5,0
54,Greater than 45,Felony,Caucasian,Female,0,1,1
50,Greater than 45,Misdemeanor,Caucasian,Male,2,1,1
37,25 - 45,Felony,Other,Male,11,1,0
26,25 - 45,Misdemeanor,Caucasian,Male,5,4,0
59,Greater than 45,Misdemeanor,African-American,Female,0,1,0
67,Greater than 45,Felony,Hispanic,Male,0,1,0
45,Greater than 45,Felony,Hispanic,Male,8,3,0
22,Less than 25,Felony,African-American,Male,0,6,0
27,25 - 45,Misdemeanor,Other,Male,0,3,0
37,25 - 45,Felony,African-American,Female,13,3,0
45,Greater than 45,Misdemeanor,Caucasian,Male,2,1,0
52,Greater than 45,Felony,African-American,Male,7,1,0
